uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",8,13,0.577,0.45,C,-8.516,Minor,0.0834,0.357,205.863
spotify:track:3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),"Doja Cat, SZA",3,50,0.764,0.705,G#,-3.463,Major,0.0284,0.259,110.97
spotify:track:7BDHDiidJ8WV349p3HTxTV,MANIAC,Stray Kids,39,1,0.744,0.8,C#,-2.63,Major,0.266,0.181,89.925
spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Light Switch,Charlie Puth,19,9,0.69,0.626,F#,-5.693,Major,0.306,0.105,184.009
spotify:track:5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",4,77,0.702,0.825,F#,-3.787,Minor,0.0601,0.00883,102.977
spotify:track:5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,7,44,0.38,0.339,D#,-7.885,Major,0.0338,0.691,100.607
spotify:track:1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",5,48,0.65,0.825,C,-4.645,Major,0.0325,0.0215,118.091
spotify:track:70AYiGbc4mWZGEqiipBBDb,CANDY,ROSALÍA,44,1,0.638,0.49,E,-5.726,Minor,0.226,0.885,179.905
spotify:track:531KGXtBroSrOX9LVmiIgc,Starlight,Dave,45,3,0.954,0.367,E,-9.551,Minor,0.288,0.341,124.026
spotify:track:2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood,35,11,0.575,0.568,A,-5.509,Minor,0.03,0.0484,93.986
spotify:track:1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,1,52,0.593,0.503,G#,-6.725,Minor,0.22,0.293,178.781
